date,profile_id,month_year,year
2021-01-13,2909,01-2021,2021
2021-01-14,2655,01-2021,2021
2021-01-15,2130,01-2021,2021
2021-01-16,901,01-2021,2021
2021-01-17,928,01-2021,2021
2021-01-18,2389,01-2021,2021
2021-01-19,2935,01-2021,2021
2021-01-20,2968,01-2021,2021
2021-01-21,3122,01-2021,2021
2021-01-22,2592,01-2021,2021
2021-01-23,939,01-2021,2021
2021-01-24,1189,01-2021,2021
2021-01-25,2991,01-2021,2021
2021-01-26,3237,01-2021,2021
2021-01-27,2953,01-2021,2021
2021-01-28,2902,01-2021,2021
2021-01-29,2345,01-2021,2021
2021-01-30,935,01-2021,2021
2021-01-31,1140,01-2021,2021
2021-02-01,3046,02-2021,2021
2021-02-02,2968,02-2021,2021
2021-02-03,3005,02-2021,2021
2021-02-04,3022,02-2021,2021
2021-02-05,2614,02-2021,2021
2021-02-06,1073,02-2021,2021
2021-02-07,1090,02-2021,2021
2021-02-08,2522,02-2021,2021
2021-02-09,3381,02-2021,2021
2021-02-10,3217,02-2021,2021
2021-02-11,2823,02-2021,2021
2021-02-12,2539,02-2021,2021
2021-02-13,995,02-2021,2021
2021-02-14,1192,02-2021,2021
2021-02-15,2456,02-2021,2021
2021-02-16,2791,02-2021,2021
2021-02-17,2732,02-2021,2021
2021-02-18,2949,02-2021,2021
